物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値
阿部ビル101号【瓦町】,高松市瓦町2--8-8,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002263,取得済み,34.3252684,134.0629058,,,
阿部ビル201号【瓦町】,高松市瓦町2--8-8,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002264,取得済み,34.3252684,134.0629058,,,
アイアイビル1，2F【南新町】,高松市南新町5--3,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002275,未取得,,,,,
あかねビル１棟貸【茜町】,高松市茜町19--12,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002282,未取得,,,,,
オフィスビルいずみ東棟１F【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002286,未取得,,,,,
オフィスビルいずみ東棟2F【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002287,未取得,,,,,
オフィスビルいずみ東棟3F【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002288,未取得,,,,,
Sunriseせきもと１F【中央町】,高松市中央町15-15,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002151,未取得,,,,,
オフィスビルいずみ東１棟貸【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002223,未取得,,,,,
Crest Court K2　1-Ａ【伏石町】,高松市伏石町-2152-4,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002253,取得済み,34.312094,134.0553112,,,
プリンス三条テナント【三条町】,高松市三条町-474-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00001566,取得済み,34.3144166,134.047238,,,
近藤第２ビル 3F,香川県高松市常磐町２丁目,2万円,27.25㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,取得済み,34.3375186,134.0511328,2.0,27.25,
ソウゲンビル 5階南,香川県高松市鍛冶屋町,2.53万円,16.00㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,取得済み,34.3428604,134.0487343,2.53,16.0,
クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,3.3万円,18.96㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,取得済み,34.3412277,134.051584,3.3,18.96,
ＡＫビル鍛冶屋町Ⅱ １Ｆ,香川県高松市鍛冶屋町,3.85万円,13.68㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6926a443aa781f981629c2d9/,取得済み,34.3428604,134.0487343,3.85,13.68,
クイ－ンズスケア第一 ５階Ｇ,香川県高松市瓦町２丁目,3.96万円,21.07㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ae18c079732ec4a1d17c2d6/,取得済み,34.3399504,134.0514047,3.96,21.07,
スモールショップ　中央南側 ２階一部,香川県高松市香川町大野,4万円,19.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68363e5e5de080734497111d/,取得済み,34.2664945,134.0255298,4.0,19.0,
クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,4.4万円,22.47㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f3b317/,取得済み,34.3412277,134.051584,4.4,22.47,
牟礼町牟礼　戸建　２Ｆ和室一部 2F,香川県高松市牟礼町牟礼,4.4万円,107.05㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6663fef91bce1051d51b1864/,取得済み,34.3493325,134.133009,4.4,107.05,
