物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
オフィスビルいずみ東棟3F【上天神町】,高松市上天神町780--6,テナント香川,https://www.tenantkagawa.com/article/search/00002288,,,,,,,,,,確認必要,準中心街,不明,店舗系,上階・地下想定,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
Sunriseせきもと１F【中央町】,高松市中央町15-15,テナント香川,https://www.tenantkagawa.com/article/search/00002151,,,,,,,,,,確認必要,準中心街,不明,店舗系,1階・路面想定,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東１棟貸【上天神町】,高松市上天神町780--6,テナント香川,https://www.tenantkagawa.com/article/search/00002223,,,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
Crest Court K2　1-Ａ【伏石町】,高松市伏石町-2152-4,テナント香川,https://www.tenantkagawa.com/article/search/00002253,34.312094,134.0553112,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
プリンス三条テナント【三条町】,高松市三条町-474-1,テナント香川,https://www.tenantkagawa.com/article/search/00001566,34.3144166,134.047238,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
近藤第２ビル 3F,香川県高松市常磐町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,34.3375186,134.0511328,2万円,20000.0,27.25㎡,27.25,,8.24,2426.0,可,中心街,極小,不明,上階・地下想定,不明,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,7.0,1600,100000.0,344828.0,13263.0,8.0,8.0,17.0,5151954.0,92,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商344,828円、必要日客数8人が目安。"
ソウゲンビル 5階南,香川県高松市鍛冶屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,34.3428604,134.0487343,2.53万円,25300.0,16.00㎡,16.0,,4.84,5227.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,4.0,1400,105300.0,339677.0,13065.0,9.0,9.0,17.0,2855600.0,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商339,677円、必要日客数9人が目安。"
クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,34.3412277,134.051584,3.3万円,33000.0,18.96㎡,18.96,,5.74,5754.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,1400,113000.0,364516.0,14020.0,10.0,10.0,18.0,3383886.0,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商364,516円、必要日客数10人が目安。"
ＡＫビル鍛冶屋町Ⅱ １Ｆ,香川県高松市鍛冶屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6926a443aa781f981629c2d9/,34.3428604,134.0487343,3.85万円,38500.0,13.68㎡,13.68,,4.14,9304.0,不可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,4.0,1400,118500.0,382258.0,14702.0,11.0,11.0,19.0,2441538.0,40,D,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商382,258円、必要日客数11人が目安。"
クイ－ンズスケア第一 ５階Ｇ,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ae18c079732ec4a1d17c2d6/,34.3399504,134.0514047,3.96万円,39600.0,21.07㎡,21.07,,6.37,6213.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,1400,119600.0,385806.0,14839.0,11.0,11.0,19.0,3760468.0,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商385,806円、必要日客数11人が目安。"
